,Title,Artist(s),Year
545,"""Shut Up and Dance""",Walk the Moon,2016
546,"""Blank Space""",Taylor Swift,2016
547,"""Watch Me""",Silentó,2016
548,"""Earned It""",The Weeknd,2016
549,"""The Hills""",The Weeknd,2016
550,"""Cheerleader (Felix Jaehn Remix)""",OMI,2016
551,"""Can't Feel My Face""",The Weeknd,2016
552,"""Love Me Like You Do""",Ellie Goulding,2016
553,"""Take Me to Church""",Hozier,2016
554,"""Bad Blood""",Taylor Swift featuring Kendrick Lamar,2016
555,"""Love Yourself""",Justin Bieber,2017
556,"""Sorry""",Justin Bieber,2017
557,"""One Dance""",Drake featuring Wizkid and Kyla,2017
558,"""Work""",Rihanna featuring Drake,2017
559,"""Stressed Out""",Twenty One Pilots,2017
560,"""Panda""",Desiigner,2017
561,"""Hello""",Adele,2017
562,"""Don't Let Me Down""",The Chainsmokers featuring Daya,2017
563,"""Can't Stop the Feeling!""",Justin Timberlake,2017
564,"""Closer""",The Chainsmokers featuring Halsey,2017
565,"""Cheap Thrills""",Sia featuring Sean Paul,2017
566,"""7 Years""",Lukas Graham,2017
567,"""Needed Me""",Rihanna,2017
568,"""My House""",Flo Rida,2017
569,"""I Took a Pill in Ibiza""",Mike Posner,2017
570,"""Shape of You""",Ed Sheeran,2018
571,"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,2018
572,"""That's What I Like""",Bruno Mars,2018
573,"""Humble""",Kendrick Lamar,2018
574,"""Something Just Like This""",The Chainsmokers and Coldplay,2018
575,"""Bad and Boujee""",Migos featuring Lil Uzi Vert,2018
576,"""Closer""",The Chainsmokers featuring Halsey,2018
577,"""Body Like a Back Road""",Sam Hunt,2018
578,"""Believer""",Imagine Dragons,2018
579,"""Congratulations""",Post Malone featuring Quavo,2018
580,"""Say You Won't Let Go""",James Arthur,2018
581,"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",2018
582,"""XO Tour Llif3""",Lil Uzi Vert,2018
583,"""Mask Off""",Future,2018
584,"""Unforgettable""",French Montana featuring Swae Lee,2018
585,"""God's Plan""",Drake,2019
586,"""Perfect""",Ed Sheeran,2019
587,"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,2019
588,"""Havana""",Camila Cabello featuring Young Thug,2019
589,"""Rockstar""",Post Malone featuring 21 Savage,2019
590,"""Psycho""",Post Malone featuring Ty Dolla Sign,2019
591,"""I Like It""","Cardi B, Bad Bunny and J Balvin",2019
592,"""The Middle""","Zedd, Maren Morris and Grey",2019
593,"""In My Feelings""",Drake,2019
594,"""Girls Like You""",Maroon 5 featuring Cardi B,2019
595,"""Nice for What""",Drake,2019
596,"""Lucid Dreams""",Juice Wrld,2019
597,"""Better Now""",Post Malone,2019
598,"""Finesse""",Bruno Mars featuring Cardi B,2019
599,"""Boo'd Up""",Ella Mai,2019
600,"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,2020
601,"""Sunflower""",Post Malone and Swae Lee,2020
602,"""Without Me""",Halsey,2020
603,"""Bad Guy""",Billie Eilish,2020
604,"""Wow""",Post Malone,2020
605,"""Happier""",Marshmello and Bastille,2020
606,"""7 Rings""",Ariana Grande,2020
607,"""Talk""",Khalid,2020
608,"""Sicko Mode""",Travis Scott,2020
609,"""Sucker""",Jonas Brothers,2020
610,"""High Hopes""",Panic! at the Disco,2020
611,"""Thank U, Next""",Ariana Grande,2020
612,"""Truth Hurts""",Lizzo,2020
613,"""Dancing with a Stranger""",Sam Smith and Normani,2020
614,"""Señorita""",Shawn Mendes and Camila Cabello,2020
